,song,predict
0,How Deep Is Your Love-Bee Gees.wav,0
1,That's Why (You Go Away)-Michael Learns To Rock.wav,0
2,"One Summer Night (Dian Ying << Qiu Xia >> Cha Qu)-Chelsia Chan, Kenny Bee.wav",0
3,"My Heart Will Go On (Love Theme from ""Titanic"")-Celine Dion.wav",1
4,Bridge Over Troubled Water-Simon & Garfunkel.wav,2
5,Dust in the Wind-Kansas.wav,2
6,Goodbye Yellow Brick Road (Remastered 2014)-Elton John.wav,3
7,Don't Forget To Remember-Bee Gees.wav,4
8,Right Here Waiting (K팝 스타 시즌3 버나드 박 가창곡)-Richard Marx.wav,5
9,When I Dream-Carol Kidd.wav,6
10,"Perhaps Love-John Denver, Placido Domingo.wav",1
11,Never Gonna Give You Up-Rick Astley.wav,4
12,Sailing-Rod Stewart.wav,7
13,Don't Worry Be Happy-Bobby McFerrin.wav,8
14,Evergreen-Susan Jacks.wav,5
15,Can't Take My Eyes Off You-Morten Harket.wav,9
16,Every Day I Love You-Boyzone.wav,6
17,Hard To Say I'm Sorry-Chicago.wav,10
18,Ben-Michael Jackson.wav,2
19,Stand By Your Man (JTBC 드라마 '밥 잘 사주는 예쁜 누나' 삽입곡)-Tammy Wynette.wav,1
20,My All-Mariah Carey.wav,11
21,I'm Still in Love with You-Al Green.wav,11
22,Release Me-Engelbert Humperdinck.wav,12
23,Dancing Queen-ABBA.wav,4
24,I Know-Tom Jones.wav,0
25,Moon River (티파니에서 아침을)-Andy Williams.wav,10
26,Vincent-Don McLean.wav,5
27,For the Good Times-Al Green.wav,1
28,"Puff (The Magic Dragon)-Peter, Paul & Mary.wav",2
29,I Have A Dream-ABBA.wav,5
30,Now And Forever-Richard Marx.wav,6
31,Unchained Melody (Single Version)-The Righteous Brothers.wav,5
32,The River Of Dreams-Billy Joel.wav,3
33,The End Of The World-The Carpenters.wav,5
34,"Endless Love-Luther Vandross, Mariah Carey.wav",3
35,"Boogie Wonderland-Earth, Wind & Fire.wav",4
36,Lemon Tree-Fool's Garden.wav,13
37,Top Of The World-The Carpenters.wav,5
38,A Lover's Concerto-Sarah Vaughan.wav,3
39,You're The Inspiration-Chicago.wav,10
40,London Nights-London Boys.wav,3
41,The Sound Of Silence-Simon & Garfunkel.wav,10
42,Hotel California-Eagles.wav,10
43,That Thing You Do-Various Artists.wav,10
44,The Lion Sleeps Tonight (Wimoweh)-The Tokens.wav,5
45,Wake Me Up Before You Go-Go-WHAM!.wav,9
46,Jambalaya (On The Bayou)-The Carpenters.wav,5
47,You Mean Everything To Me-Neil Sedaka.wav,12
48,Hey Jude (Remastered 2015)-The Beatles.wav,0
49,내가 없는 너의 사진-김경민 (위아영).wav,8
50,miss u-김나영.wav,1
51,소란했던 시절에-빌리어코스티.wav,5
52,눈 떠보니 이별이더라-포맨 (4MEN).wav,8
53,"사랑 그렇게 보내네-김영근(지리산소울), 아윤(Ayun).wav",1
54,오늘 밤-폴킴.wav,1
55,사이-권영찬.wav,14
56,그날처럼-장덕철.wav,11
57,내 손으로 숨을 막는 일-전상근.wav,1
58,차라리 아프자-이예담.wav,15
59,뜨거운 여름밤은 가고 남은 건 볼품없지만-잔나비.wav,0
60,고요 (With 정준일)-윤종신.wav,5
61,서로는 서로를-최창순.wav,5
62,가을이라 다행이야-우일.wav,5
63,You-멜로망스.wav,11
64,"아름다웠지, 우리-강아솔.wav",16
65,혜화동 거리에서-피아노맨.wav,1
66,응급실-정승환.wav,1
67,대관람차-주윤하.wav,1
68,그 밤-멜로망스.wav,15
69,이 바보야-정승환.wav,6
70,"안녕,우주-권영찬.wav",5
71,널 사랑하지만-이준호.wav,14
72,나만-이준호.wav,14
73,잊어야 할 일은 잊어요-브로콜리너마저.wav,8
74,서울 날씨-주윤하.wav,14
75,잘 밤에-강기웅.wav,5
76,어떤가요-정승환.wav,7
77,고칠게-진원.wav,17
78,괜찮아-정준일.wav,5
79,그래 그래-김나영.wav,8
80,"잘 지내자, 우리-짙은.wav",3
81,장난 (Prod. 2soo)-진원.wav,1
82,비-폴킴.wav,5
83,처음 만날때처럼-잔나비.wav,11
84,사랑은 시가 되고 이별은 노래가 돼-언어의정원.wav,17
85,안아줘-정준일.wav,1
86,내 방 가을-강태구.wav,6
87,광화문에서 (At Gwanghwamun)-규현 (KYUHYUN).wav,1
88,지각-장덕철.wav,11
89,그녀의 남자에게-김종국.wav,1
90,똑같았을거야 (Feat. Chan)-공기남.wav,1
91,느낌-폴킴.wav,1
92,거짓-조영현.wav,2
93,바램-정준일.wav,5
94,너를 만나-폴킴.wav,1
95,이사랑 (이사랑 버리자)-김영근(지리산소울).wav,14
96,서툰 이별을 하려해 (Feat.전상근)-윤토벤.wav,1
97,안부-김은태.wav,6
98,이별을 걸으며-헤르쯔 아날로그 (Herz Analog).wav,1
99,목소리-정승환.wav,15
100,누군가의 위로가 필요한 밤-한올.wav,17
101,다시 내게-권영찬.wav,6
102,너와 헤어지던 날-손준혁.wav,15
103,"기다린 만큼, 더-검정치마.wav",10
104,이런 날 (With 하킴)-임태.wav,7
105,위로-장우재.wav,14
106,우리헤어지자 (With 손주희)-1041.wav,7
107,못 헤어져서 미안해-김동준.wav,7
108,이명-권영찬.wav,6
109,주섬주섬-정재일.wav,6
110,바래다줄게-어떤(O’dawn).wav,0
111,새벽-권영찬.wav,7
112,그대 아니면 (With 임형섭)-한태우.wav,14
113,너무 보고 싶어-이민혁.wav,11
114,아니야-정준일.wav,6
115,안녕아직-위아영 (WeAreYoung).wav,1
116,같이 걷자-박재정.wav,1
117,참 많이 사랑했다-순순희.wav,11
118,미약한-권영찬.wav,14
119,어쩌죠-나윤권.wav,6
120,추억을 걷다-센티멘탈 시너리 (Sentimental Scenery).wav,11
121,하루-메이트.wav,5
122,읽지않음 (Unread)-한동근.wav,11
123,이별-폴킴.wav,5
124,이별하러 가는 길-임한별.wav,5
125,이별질문 (Feat. 은서)-비노트 (B.note).wav,1
126,시간이 사랑을 대신할 수는 없잖아 (Vocal 전상근)-밤에.wav,1
127,우리 그만하자-로이킴.wav,1
128,Never Stop-Tom Browne.wav,18
129,알아-위아영 (WeAreYoung).wav,5
130,난 못해요-조인 (ZOIN).wav,8
131,알았다면-장덕철.wav,11
132,어떡하란거니-무성.wav,14
133,어떡해 (Feat. 스텔라장)-John OFA Rhee.wav,1
134,미안-18GRAM.wav,19
135,이름-에피톤 프로젝트.wav,6
136,Not A Love-바이브.wav,6
137,우리였던 시간들 (Feat. 조은희)-레터 플로우.wav,1
138,미안 (Feat. 안지연)-스무살.wav,11
139,나는 그 사람이 아프다 (Feat. 타루)-에피톤 프로젝트.wav,11
140,결국 너야-임세준.wav,1
141,사랑 그렇게 보내네 (Feat. 김광민)-이문세.wav,14
142,사랑했나봐-윤도현.wav,6
143,I Love U Oh Thank U (Feat. 김태우 Of God)-MC몽.wav,1
144,사랑스러워-김종국.wav,20
145,사랑인걸-모세.wav,21
146,겁쟁이-버즈.wav,10
147,Y (Please Tell Me Why)-프리스타일.wav,5
148,죄와벌-SG 워너비.wav,11
149,제자리 걸음-김종국.wav,13
150,Fly-에픽하이 (EPIK HIGH).wav,22
151,세글자 (드라마 '루루공주' 김정은 메인 테마)-엠투엠 (M To M).wav,23
152,내사람 : Partner For Life-SG 워너비.wav,20
153,그 남자 그 여자 (Feat. 장혜진)-바이브.wav,1
154,사랑안해-백지영.wav,0
155,아무리 생각해도 난 너를-스윗소로우 (SWEET SORROW).wav,10
156,"Hold The Line-조pd (ZoPD), 브라운아이드걸스.wav",11
157,"까만안경 (Feat. Day Light)-이루, Daylight.wav",11
158,거리에서-성시경.wav,5
159,"Perhaps Love (사랑인가요)-하울, 제이.wav",11
160,남과 여 (Feat.김범수)-박선주 (Pak Sun Zoo).wav,11
161,비행기-거북이.wav,21
162,소리쳐-이승철.wav,5
163,남자를 몰라-버즈.wav,0
164,아이스크림-MC몽.wav,19
165,"Must Have Love-SG 워너비, 브라운아이드걸스.wav",20
166,봄 여름 가을..겨울 (Feat. 김태우)-수호.wav,10
167,"바람만바람만-김종국, SG 워너비.wav",0
168,남자답게-플라이 투 더 스카이.wav,1
169,미친 사랑의 노래-씨야.wav,11
170,그녀를 사랑해줘요-하동균.wav,14
171,여인의 향기-씨야.wav,23
172,웃는거야-서영은.wav,11
173,하기 힘든 말-이승기.wav,11
174,So Sick-Ne-Yo.wav,23
175,LOVE ALL-gavy nj project group [H7美人(미인)].wav,1
176,사랑을 찾아서-엠씨더맥스 (M.C the MAX).wav,1
177,거짓말-BIGBANG.wav,11
178,Love Love Love (Feat. Yoong Jin Of Casker)-에픽하이 (EPIK HIGH).wav,11
179,Tell me (Sampling From 'Two Of Hearts')-원더걸스.wav,20
180,So Fresh (Feat. 김태우) (위대한 캣츠비 OST 삽입곡)-MC몽.wav,20
181,Ballerino-리쌍.wav,5
182,사랑앓이-FTISLAND (FT아일랜드).wav,1
183,Way Back Into Love-Hugh Grant.wav,3
184,사랑..그게 뭔데-양파.wav,24
185,"사랑해요 (Feat. V.O.S 김경록, 태인)-나몰라패밀리 (Namolla Family).wav",19
186,Hawaian couple (에뛰드 복숭아송 원곡)-HUS (허밍어반스테레오).wav,19
187,수취인 불명-프리스타일.wav,11
188,유혹의 소나타-아이비.wav,22
189,마지막 인사-BIGBANG.wav,0
190,흰눈-이루.wav,1
191,이럴거면-아이비.wav,1
192,비밀번호 486-윤하 (YOUNHA).wav,19
193,사랑의 인사-씨야.wav,1
194,사랑은 맛있다♡-휘성 (Realslow).wav,11
195,Because Of You-Ne-Yo.wav,25
196,한여름날의 꿈 (Duet With 옥주현)-SG 워너비.wav,0
197,Fan-에픽하이 (EPIK HIGH).wav,3
198,내 사람입니다-더 넛츠 (The NuTs).wav,11
199,미인 (美人)-이기찬.wav,11
200,그대 내게 다시-럼블피쉬.wav,1
201,하루 하루-BIGBANG.wav,0
202,아이처럼-김동률.wav,0
203,So Hot-원더걸스.wav,0
204,Nobody-원더걸스.wav,0
205,만약에-태연 (TAEYEON).wav,1
206,Too Much (With 서인영) (우리결혼했어요 화제곡)-크라운제이 (CROWN J).wav,26
207,총맞은것처럼-백지영.wav,2
208,"서커스 (Feat. 임유경 - 달래 음악단 , ＄howgun)-MC몽.wav",9
209,U-Go-Girl (With 낯선)-이효리.wav,3
210,사랑과 전쟁 (Narr. 하하)-다비치.wav,11
211,Love-브라운아이드걸스.wav,22
212,화분 (알렉스 Ver.) (우리결혼했어요 삽입곡)-알렉스.wav,3
213,기억을 걷는 시간-넬 (NELL).wav,1
214,붉은 노을-BIGBANG.wav,3
215,어제보다 오늘 더-김종국.wav,13
216,Brave-Jennifer Lopez.wav,21
217,사랑해 (Feat. 윤은혜)-마이티 마우스.wav,20
218,보고싶은 날엔..-박지헌.wav,13
219,너는 내 운명-하하.wav,9
220,우산 (Feat. 윤하)-에픽하이 (EPIK HIGH).wav,20
221,어쩌다-브라운아이드걸스.wav,3
222,죽도록 사랑해 (Feat. 박정현)-MC몽.wav,0
223,One (Feat. 지선)-에픽하이 (EPIK HIGH).wav,22
224,"우리들의 행복한 시간 (Feat. 주(Joo) Narr. 안혜경)-미노 (프리스타일), 타우.wav",5
225,천국-BIGBANG.wav,27
226,I Don't Care-2NE1.wav,11
227,Gee-소녀시대 (GIRLS' GENERATION).wav,22
228,Heartbreaker-G-DRAGON.wav,22
229,외톨이-아웃사이더.wav,0
230,"Lollipop-BIGBANG, 2NE1.wav",0
231,"헤어지지 못하는 여자, 떠나가지 못하는 남자 (Feat. 정인)-리쌍.wav",0
232,내 머리가 나빠서-SS501.wav,22
233,Abracadabra-브라운아이드걸스.wav,3
234,결혼해 줄래 (Feat. BIZNIZ)-이승기.wav,20
235,심장이 없어-에이트.wav,0
236,죽어도 못 보내-2am.wav,23
237,잔소리 (With 2AM 슬옹)-아이유.wav,13
238,밤하늘의 별을... (With KCM & No Noo)-양정승.wav,13
239,Nothin' On You (Feat. Bruno Mars)-B.o.B.wav,5
240,죽을 만큼 아파서 (Feat. 멜로우)-MC몽.wav,13
241,고백-뜨거운 감자.wav,0
242,Bad Girl Good Girl-미쓰에이.wav,21
243,못해 (Feat. 美)-포맨 (4MEN).wav,11
244,Bubble Love-MC몽.wav,27
245,"밥만 잘 먹더라-Homme (창민, 이현).wav",20
246,잘 가라니-2am.wav,11
247,벌써 일년-브라운 아이즈.wav,20
248,연애소설 (Love Story)-규현 (KYUHYUN).wav,11
249,두사람-성시경.wav,1
250,야생화-박효신.wav,1
251,Only One For Me-소울스타 (SOULSTAR).wav,22
252,밤편지-아이유.wav,11
253,은하수-길구봉구.wav,1
254,"오르막길-정인, 윤종신.wav",11
255,보고 싶다-김범수.wav,5
256,다시 사랑한다 말할까-김동률.wav,0
257,그리워하다-비투비.wav,13
258,너와 나의 거리 (Selene 6.23)-SHINee (샤이니).wav,0
259,"Ordinary Day-규현 (KYUHYUN), 온유 (ONEW), 태일 (TAEIL).wav",20
260,내게 오는 길-성시경.wav,14
261,별 보러 가자-적재.wav,2
262,Love poem-아이유.wav,1
263,같은 시간 속의 너-나얼.wav,1
264,숨-박효신.wav,1
265,너였다면-정승환.wav,11
266,비도 오고 그래서 (Feat. 신용재)-헤이즈 (Heize).wav,11
267,Lonely (Feat. 태연)-종현 (JONGHYUN).wav,1
268,품-윤현상.wav,1
269,Falling (feat. 은채)-에스프레소.wav,13
270,하루종일-규현 (KYUHYUN).wav,7
271,별-양요섭.wav,5
272,늦은 밤 너의 집 앞 골목길에서-노을.wav,11
273,바람기억-나얼.wav,10
274,점점-브라운 아이즈.wav,5
275,"별을 담은 시 (Ode To The Stars)-마크툽 (MAKTUB), 이라온.wav",11
276,햇살이 아파 (With 한소현 Of 3rd Coast)-스탠딩 에그.wav,23
277,꽃이 핀다-케이윌.wav,0
278,From Home-NCT U.wav,11
279,사랑하기 때문에-수지.wav,28
280,초록빛-폴킴.wav,1
281,푸르게 빛나던 우리의 계절 (When We Were Us)-SUPER JUNIOR-K.R.Y. (슈퍼주니어-K.R.Y.).wav,11
282,all of my life-박원.wav,14
283,사월이 지나면 우리 헤어져요 (Beautiful goodbye)-첸 (CHEN).wav,11
284,안녕-폴킴.wav,1
285,안녕 (Hello)-첸 (CHEN).wav,11
286,내 마음을 누르는 일 (Daystar)-규현 (KYUHYUN).wav,5
287,언제쯤이면 (Duet.아이유)-윤현상.wav,14
288,아름답고도 아프구나-비투비.wav,27
